type,value,status
COULD,dcat:Dataset adms:identifier,used
COULD,dcat:Dataset adms:versionNotes,used
COULD,dcat:Dataset dcat:hasVersion,used
COULD,dcat:Dataset dct:isReferencedBy,used
COULD,dcat:Dataset dct:language,used
COULD,dcat:Dataset dct:type,used
COULD,dcat:Distribution dcat:compressFormat,used
COULD,dcat:Distribution dcat:downloadURL,used
COULD,dcat:Distribution dcat:mediaType,used
COULD,dcat:Distribution dcat:packageFormat,used
COULD,dcat:Distribution dct:language,used
COULD,dcat:Distribution dct:title,used
COULD,dcat:Catalog dcat:record,unused
COULD,dcat:Catalog dcat:service,unused
COULD,dcat:Catalog dct:creator,unused
COULD,dcat:Catalog dct:license,unused
COULD,dcat:Dataset adms:sample,unused
COULD,dcat:Dataset dcat:isVersionOf,unused
COULD,dcat:Dataset dcat:landingPage,unused
COULD,dcat:Dataset dcat:qualifiedRelation,unused
COULD,dcat:Dataset dcat:spatialResolutionInMeters,unused
COULD,dcat:Dataset dcat:temporalResolution,unused
COULD,dcat:Dataset dcatap:applicablelegislation,unused
COULD,dcat:Dataset dct:accrualPeriodicity,unused
COULD,dcat:Dataset dct:conformsTo,unused
COULD,dcat:Dataset dct:creator,unused
COULD,dcat:Dataset dct:issued,unused
COULD,dcat:Dataset dct:modified,unused
COULD,dcat:Dataset dct:provenance,unused
COULD,dcat:Dataset dct:relation,unused
COULD,dcat:Dataset dct:rights,unused
COULD,dcat:Dataset dct:source,unused
COULD,dcat:Dataset foaf:page,unused
COULD,dcat:Dataset prov:qualifiedAttribution,unused
COULD,dcat:Dataset prov:wasGeneratedBy,unused
COULD,dcat:DatasetSeries dcatap:applicablelegislation,unused
COULD,dcat:Distribution adms:status,unused
COULD,dcat:Distribution dcat:accessService,unused
COULD,dcat:Distribution dcat:byteSize,unused
COULD,dcat:Distribution dcat:spatialResolutionInMeters,unused
COULD,dcat:Distribution dcat:temporalResolution,unused
COULD,dcat:Distribution dcatap:applicablelegislation,unused
COULD,dcat:Distribution dcatap:availability,unused
COULD,dcat:Distribution dct:conformsTo,unused
COULD,dcat:Distribution dct:issued,unused
COULD,dcat:Distribution dct:modified,unused
COULD,dcat:Distribution dct:rights,unused
COULD,dcat:Distribution foaf:page,unused
COULD,dcat:Distribution odrl:hasPolicy,unused
COULD,dcat:Distribution spdx:checksum,unused
COULD,dct:PeriodOfTime time:hasBeginning,unused
COULD,dct:PeriodOfTime time:hasEnd,unused
